rep_id,first_name,last_name,rep_name,site,queue_name,department,job_role,can_transfer_departments,tenure_months,primary_skill_tag,secondary_skill_tag,primary_skill_label,secondary_skill_label,strengths,weaknesses,strain_tier,pressure_index_baseline,qa_score,fcr_30d,repeat_contact_rate,aht_secs,csat_proxy,transfer_rate,escalation_rate,compliance_risk,productivity_index,burnout_index,resilience_index,volatility_index,policy_accuracy,discovery_skill,conflict_tolerance,technical_skill,credit_discipline,ownership_bias,emotional_regulation,aht_pressure_bias,strain_score,weakness_tags,strength_tags
REP00001,Riley,Peterson,Riley Peterson,NovaWireless,General Support,Call Center,Customer Service Representative,False,39,network_service,fraud_unwanted_calls,tech_support,fraud_unwanted_calls,network_service|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,0.6096,0.73,0.2177,510.72,0.6539,0.0518,0.1329,0.2247,0.6611,0.4268,0.8181,0.6669,0.4331306990881459,0.4903872945110058,0.3802319717599597,0.523361193408156,0.6884328358208955,0.4486088520511784,0.27678816114003835,0.47442510438506474,0.5402158221381451,reactive_under_stress,balanced
REP00002,Zoe,Stewart,Zoe Stewart,NovaWireless,General Support,Call Center,Customer Service Representative,False,31,general_support,network_service,general_support,tech_support,general_support|network_service|generalist,none_flagged,medium,0.1359,0.6708,0.7014,0.2513,600.38,0.8084,0.0701,0.1537,0.2418,0.7137,0.4439,0.8269,0.5368,0.5660008684324792,0.39676790192254097,0.2753403933434191,0.5496390188834679,0.6428571428571429,0.6975582188007988,0.4550561797752808,0.5960822086392482,0.4941592809800997,escalation_prone,balanced
REP00003,Finn,Foster,Finn Foster,NovaWireless,General Support,Call Center,Customer Service Representative,False,42,network_service,billing_resolution,tech_support,billing_support,network_service|billing_resolution|generalist,none_flagged,medium,0.1359,0.6439,0.6349,0.3269,565.87,0.6598,0.0713,0.1104,0.2016,0.6148,0.4537,0.8744,0.4274,0.5075987841945289,0.1861242685984953,0.4936964195663137,0.42706532863194574,0.75,0.5310994177197855,0.6049602630857769,0.5362165549434718,0.42022144366775444,discovery_gap,balanced
REP00004,Hazel,Robinson,Hazel Robinson,NovaWireless,General Support,Call Center,Customer Service Representative,False,26,network_service,general_support,tech_support,general_support,network_service|general_support|generalist,none_flagged,low,0.1359,0.593,0.7079,0.2454,556.15,0.7029,0.0818,0.0434,0.3113,0.6441,0.3647,0.9622,0.3425,0.39709075119409454,0.4132070214544441,0.8315683308119012,0.4743106100817425,0.45762260127931764,0.7118477851430749,0.7212935050698821,0.47911545965847174,0.24214338816316522,none,deescalation_strong
REP00005,Alexander,Anderson,Alexander Anderson,NovaWireless,General Support,Call Center,Customer Service Representative,False,49,fraud_unwanted_calls,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls|billing_resolution|generalist,none_flagged,medium,0.1359,0.6544,0.7588,0.2647,516.93,0.7788,0.0566,0.0962,0.3443,0.7015,0.432,0.8835,0.3969,0.5303951367781155,0.35943159654499857,0.5653050932929904,0.6124314914443794,0.36966950959488276,0.7258750038686652,0.6467525349410798,0.4965838643633335,0.3824042655127914,none,balanced
REP00006,Nicholas,Khan,Nicholas Khan,NovaWireless,General Support,Call Center,Customer Service Representative,False,36,billing_resolution,network_service,billing_support,tech_support,billing_resolution|network_service|generalist,none_flagged,low,0.1359,0.7377,0.7066,0.1726,535.26,0.7751,0.0465,0.1168,0.2317,0.6845,0.3913,0.9042,0.3887,0.7112462006079028,0.616049038729451,0.4614220877458396,0.6295630048251533,0.6697761194029851,0.7471832509327694,0.6579884899972596,0.5435376287914724,0.3287777184914881,none,balanced
REP00007,Diego,Watson,Diego Watson,NovaWireless,General Support,Call Center,Customer Service Representative,False,26,billing_resolution,general_support,billing_support,general_support,billing_resolution|general_support|generalist,none_flagged,low,0.1359,0.6231,0.7339,0.2767,575.73,0.6552,0.0364,0.0567,0.3332,0.6516,0.3397,0.9085,0.363,0.4624402952670429,0.3259960991919755,0.7644982349974786,0.5434919813880847,0.39925373134328357,0.5684995480276542,0.6932036174294327,0.4542295607294775,0.2716686317059729,discovery_gap,deescalation_strong
REP00008,Mia,Morales,Mia Morales,NovaWireless,General Support,Call Center,Customer Service Representative,False,36,fraud_unwanted_calls,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls|billing_resolution|generalist,none_flagged,high,0.1359,0.6041,0.6845,0.2398,583.97,0.7375,0.0264,0.0858,0.3033,0.5929,0.5349,0.7673,0.695,0.4211897524967433,0.42881025355252156,0.6177508825012608,0.45350417139018573,0.4789445628997867,0.5108562763219571,0.23828446149630045,0.4326407513409872,0.6819767918409849,reactive_under_stress,balanced
REP00009,Amir,White,Amir White,NovaWireless,General Support,Call Center,Customer Service Representative,False,32,fraud_unwanted_calls,general_support,fraud_unwanted_calls,general_support,fraud_unwanted_calls|general_support|generalist,none_flagged,low,0.1359,0.7283,0.6727,0.225,497.9,0.7006,0.0398,0.084,0.2212,0.6905,0.3054,1.0,0.4347,0.6908380373425964,0.4700473669545834,0.6268280383257689,0.5717599341444799,0.6977611940298507,0.75760836151245,0.594957522608934,0.6004331781121917,0.2008432871503742,none,accountability_driven
REP00010,Jace,James,Jace James,NovaWireless,General Support,Call Center,Customer Service Representative,False,24,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,medium,0.1359,0.5432,0.6793,0.207,494.07,0.5795,0.1156,0.1521,0.2707,0.6335,0.4908,0.9588,0.8468,0.28897090751194093,0.5202006129841181,0.28340897629853756,0.380093429043811,0.5658315565031983,0.5177427008109844,0.03028226911482601,0.5028487957068913,0.5576301783877424,policy_confusion|escalation_prone|reactive_under_stress,balanced
