call_id,is_repeat_call,parent_call_id,call_date,call_type,call_subreason,scenario,experiment_condition,customer_id,account_id,rep_id,rep_name,site,queue_name,department,agent_tenure_months,agent_strain_tier,agent_qa_score,agent_aht_secs_base,friction_tier,aht_secs,rep_gaming_propensity,rep_compliance_risk,rep_policy_skill,rep_burnout_level,rep_calls_handled,rep_dar_running_mean,rep_dov_running_mean,rep_trust_accumulated,imei_mismatch_flag,nrf_generated_flag,promo_override_post_call,line_added_no_usage_flag,line_added_same_day_store,rep_aware_gaming,true_resolution,resolution_flag,repeat_contact_30d,repeat_contact_31_60d,escalation_flag,credit_applied,credit_amount,credit_type,credit_authorized,customer_tenure_months,customer_monthly_charges,customer_lines,customer_churn_risk,customer_churn_risk_effective,customer_trust_baseline,customer_patience,customer_is_churned
CALL-0000001,0,,2025-07-25,Network Coverage,,gamed_metric,goodhart_burnout_bleed,C0000426,A0000426,REP00091,Landon Chen,NovaWireless,General Support,Call Center,36,low,0.6995,504.05,normal,440,0.0,0.0,0.6291,0.3169,1,1.0,0.0,0.0,False,True,False,False,False,True,False,True,False,False,False,False,0.0,none,True,41,64.51,2,0.456097,0.570121,61.274097000000005,0.404154,1
CALL-0000002,0,,2025-07-21,Account Inquiry,Add a line,line_add_legitimate,goodhart_burnout_bleed,C0005793,A0005793,REP00233,Zoe Lewis,NovaWireless,General Support,Call Center,38,medium,0.6978,586.31,normal,709,0.0,0.0,0.6254,0.508,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,11,69.83,1,0.108273,0.092032,69.881638,0.752232,0
CALL-0000003,0,,2025-07-19,Device Issue,,gamed_metric,goodhart_burnout_bleed,C0004504,A0004504,REP00052,Kevin Ramirez,NovaWireless,General Support,Call Center,25,low,0.635,548.99,high,576,0.0,0.0,0.4893,0.4725,1,1.0,0.0,0.0,False,False,False,False,False,False,True,False,True,False,False,False,0.0,none,True,22,105.69,5,0.266875,0.333594,79.97788200000001,0.643886,1
CALL-0000004,1,CALL-0000003,2025-07-14,Payment Arrangement,,gamed_metric,goodhart_burnout_bleed,C0004504,A0004504,REP00119,Logan Kim,NovaWireless,General Support,Call Center,30,medium,0.7884,535.51,normal,458,0.0,0.0,0.8217,0.4737,1,1.0,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,0.0,none,True,22,105.69,5,0.266875,0.333594,79.89788200000001,0.643886,1
CALL-0000005,0,,2025-07-16,Network Coverage,,clean,goodhart_burnout_bleed,C0002219,A0002219,REP00142,Mila Gray,NovaWireless,General Support,Call Center,29,medium,0.5762,605.65,low,591,0.0,0.0,0.3619,0.4733,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,71,53.37,2,0.160938,0.160938,71.112336,0.137738,0
CALL-0000006,0,,2025-07-24,Billing Dispute,,gamed_metric,goodhart_burnout_bleed,C0009464,A0009464,REP00065,Grace Edwards,NovaWireless,General Support,Call Center,23,medium,0.7535,513.65,normal,398,0.0,0.0,0.7461,0.4359,1,1.0,0.0,0.0,False,False,False,False,False,True,True,True,False,True,False,False,0.0,none,True,0,39.57,1,0.299433,0.374291,73.458736,0.229984,1
CALL-0000007,1,CALL-0000006,2025-07-21,Account Inquiry,,gamed_metric,goodhart_burnout_bleed,C0009464,A0009464,REP00119,Logan Kim,NovaWireless,General Support,Call Center,30,medium,0.7884,535.51,low,408,0.0,0.0,0.822,0.4732,2,1.0,0.0,0.0,False,True,False,False,False,False,False,True,True,True,False,False,0.0,none,True,0,39.57,1,0.299433,0.374291,73.378736,0.229984,1
CALL-0000008,0,,2025-07-28,Billing Dispute,,clean,goodhart_burnout_bleed,C0002467,A0002467,REP00233,Zoe Lewis,NovaWireless,General Support,Call Center,38,medium,0.6978,586.31,normal,694,0.0,0.0,0.6261,0.5075,2,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,11.26,courtesy,True,39,93.74,2,0.189303,0.189303,70.898068,0.92339,0
CALL-0000009,0,,2025-07-01,Network Coverage,,clean,goodhart_burnout_bleed,C0009715,A0009715,REP00113,Lucy Powell,NovaWireless,General Support,Call Center,48,low,0.6371,580.1,normal,502,0.0,0.0,0.4938,0.3701,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,False,0.0,none,True,1,72.5,5,0.441901,0.441901,46.074805,0.352075,1
CALL-0000010,0,,2025-07-22,Billing Dispute,,clean,goodhart_burnout_bleed,C0003960,A0003960,REP00176,Alejandro Chang,NovaWireless,General Support,Call Center,37,medium,0.7532,551.01,normal,589,0.0,0.0,0.7454,0.5011,1,1.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False,False,True,14.75,courtesy,True,13,50.98,1,0.345431,0.345431,98.0,0.603421,1
