rep_id,first_name,last_name,rep_name,site,queue_name,department,job_role,can_transfer_departments,tenure_months,primary_skill_tag,secondary_skill_tag,primary_skill_label,secondary_skill_label,strengths,weaknesses,strain_tier,pressure_index_baseline,qa_score,fcr_30d,repeat_contact_rate,aht_secs,csat_proxy,transfer_rate,escalation_rate,compliance_risk,productivity_index,burnout_index,resilience_index,volatility_index,policy_accuracy,discovery_skill,conflict_tolerance,technical_skill,credit_discipline,ownership_bias,emotional_regulation,aht_pressure_bias,strain_score,weakness_tags,strength_tags
REP00001,Sarah,Chang,Sarah Chang,NovaWireless,General Support,Call Center,Customer Service Representative,False,40,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,low,0.1359,0.671,0.7846,0.2418,510.14,0.657,0.0821,0.1009,0.413,0.7547,0.41,0.9646,0.2496,0.5931085043988271,0.45820105820105816,0.5253263707571801,0.6991654965372766,0.22109626900046075,0.7010213400428666,0.7743589743589744,0.5463219490864113,0.2723993097954211,credit_leak_risk,balanced
REP00002,Parker,Gupta,Parker Gupta,NovaWireless,General Support,Call Center,Customer Service Representative,False,30,device_support,network_service,device_support,tech_support,device_support|network_service|generalist,none_flagged,medium,0.1359,0.591,0.7243,0.2122,548.24,0.6681,0.069,0.1216,0.4528,0.6011,0.5047,0.7315,0.4964,0.2998533724340175,0.562610229276896,0.4172323759791122,0.4722021991400037,0.12943344081068642,0.4019802441524557,0.4412955465587044,0.35803228700705036,0.6495446078492633,policy_confusion|credit_leak_risk,balanced
REP00003,Catherine,Morales,Catherine Morales,NovaWireless,General Support,Call Center,Customer Service Representative,False,44,fraud_unwanted_calls,porting_transfer,fraud_unwanted_calls,porting_support,fraud_unwanted_calls|porting_transfer|generalist,none_flagged,low,0.1359,0.5912,0.7291,0.2296,529.22,0.611,0.1155,0.0599,0.2032,0.6496,0.3403,1.0,0.4455,0.3005865102639294,0.5012345679012346,0.739425587467363,0.47896365214768544,0.704283740211884,0.6741682974559687,0.5099865047233468,0.4364572700007185,0.25882410825708363,policy_confusion,balanced
REP00004,Lucas,Nguyen,Lucas Nguyen,NovaWireless,General Support,Call Center,Customer Service Representative,False,33,billing_resolution,general_support,billing_support,general_support,billing_resolution|general_support|generalist,none_flagged,low,0.1359,0.6553,0.7431,0.1483,499.54,0.7656,0.0181,0.0503,0.2512,0.7246,0.2997,0.9456,0.1983,0.5355571847507331,0.7880070546737213,0.789556135770235,0.6151007346615376,0.5937356057116536,0.8522747181064205,0.8435897435897436,0.5489702676473722,0.16587794663777486,none,thorough_probe|accountability_driven|deescalation_strong
REP00005,Evelyn,Ruiz,Evelyn Ruiz,NovaWireless,General Support,Call Center,Customer Service Representative,False,38,fraud_unwanted_calls,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls|billing_resolution|generalist,none_flagged,medium,0.1359,0.6797,0.7772,0.2283,551.09,0.7147,0.0627,0.038,0.3723,0.6105,0.4801,0.8777,0.4928,0.6249999999999999,0.5058201058201057,0.8537859007832899,0.7052524646949107,0.31483187471211427,0.6768865902525395,0.4461538461538461,0.3039946496807452,0.5061558321674391,credit_leak_risk,deescalation_strong
REP00006,Matthew,Watson,Matthew Watson,NovaWireless,General Support,Call Center,Customer Service Representative,False,33,network_service,billing_resolution,tech_support,billing_support,network_service|billing_resolution|generalist,none_flagged,high,0.1359,0.5567,0.6739,0.277,605.98,0.6452,0.1026,0.1274,0.5,0.5379,0.5459,0.7369,0.6793,0.1741202346041055,0.3340388007054672,0.3869451697127937,0.34218934725142663,0.02072777521879321,0.37198210791165787,0.1944669365721997,0.31465041328252547,0.7570092185369891,discovery_gap|policy_confusion|credit_leak_risk,balanced
REP00007,Claire,Carter,Claire Carter,NovaWireless,General Support,Call Center,Customer Service Representative,False,33,billing_resolution,network_service,billing_support,tech_support,billing_resolution|network_service|generalist,none_flagged,low,0.1359,0.6169,0.7262,0.269,475.44,0.7503,0.1226,0.0789,0.2739,0.6954,0.3139,0.9536,0.4331,0.3947947214076246,0.36225749559082876,0.6402088772845953,0.5222041819135111,0.5414555504375864,0.8382079955269779,0.5267206477732793,0.5204187821481185,0.2674445561375866,none,accountability_driven
REP00008,Lauren,Murphy,Lauren Murphy,NovaWireless,General Support,Call Center,Customer Service Representative,False,20,billing_resolution,fraud_unwanted_calls,billing_support,fraud_unwanted_calls,billing_resolution|fraud_unwanted_calls|generalist,none_flagged,low,0.1359,0.7424,0.7498,0.2493,516.21,0.6681,0.01,0.1307,0.2512,0.7465,0.2776,1.0,0.3097,0.854838709677419,0.43174603174603177,0.3697127937336814,0.7836676895043104,0.5937356057116536,0.7672863666014351,0.6932523616734143,0.5783441801997367,0.14628180813786554,none,policy_expert|accountability_driven
REP00009,William,Gonzalez,William Gonzalez,NovaWireless,General Support,Call Center,Customer Service Representative,False,32,fraud_unwanted_calls,porting_transfer,fraud_unwanted_calls,porting_support,fraud_unwanted_calls|porting_transfer|generalist,none_flagged,low,0.1359,0.6488,0.6956,0.1674,547.2,0.7427,0.0767,0.0505,0.2037,0.6201,0.3362,1.0,0.3306,0.5117302052785925,0.7206349206349206,0.7885117493472584,0.539904537757868,0.7031321971441733,0.8889432485322897,0.6650472334682861,0.4294967663504733,0.20854183179563995,none,accountability_driven|deescalation_strong
REP00010,Emma,Cox,Emma Cox,NovaWireless,General Support,Call Center,Customer Service Representative,False,22,fraud_unwanted_calls,network_service,fraud_unwanted_calls,tech_support,fraud_unwanted_calls|network_service|generalist,none_flagged,high,0.1359,0.6285,0.6658,0.2963,565.31,0.6474,0.0455,0.0984,0.3929,0.6255,0.5463,0.7538,0.4782,0.4373167155425218,0.26596119929453255,0.5383812010443865,0.4629962208141598,0.267388300322432,0.39856304165501827,0.4658569500674763,0.4786421999161775,0.6621635212759822,discovery_gap|credit_leak_risk,balanced
REP00011,Brittany,Ruiz,Brittany Ruiz,NovaWireless,General Support,Call Center,Customer Service Representative,False,32,porting_transfer,billing_resolution,porting_support,billing_support,porting_transfer|billing_resolution|generalist,none_flagged,low,0.1359,0.7586,0.6458,0.2646,557.92,0.6727,0.0655,0.131,0.3194,0.6712,0.3873,0.9925,0.4529,0.9142228739002933,0.37777777777777777,0.36814621409921666,0.6748039496066882,0.4366651312759098,0.764583915758084,0.4999999999999999,0.5852106003200237,0.3110914643571452,none,policy_expert|accountability_driven
REP00012,Catherine,Young,Catherine Young,NovaWireless,General Support,Call Center,Customer Service Representative,False,26,device_support,general_support,device_support,general_support,device_support|general_support|generalist,none_flagged,medium,0.1359,0.6381,0.7392,0.2315,541.78,0.7239,0.0524,0.1236,0.366,0.6701,0.397,1.0,0.5267,0.4725073313782991,0.4945326278659611,0.40678851174934727,0.5783799646499809,0.3293413173652695,0.8582844096542728,0.40040485829959527,0.45885306445294977,0.3437527678945603,credit_leak_risk,accountability_driven
